#TYPE:ANIM|RUN:monthly|DATE:2604|ANIM:5|FIELDS:57
ID17|INFORMATION|VALUE
AY840003006323920|EVAL_BREED|AY
AY840003006323920|BLEND_CODE|M
AY840003006323920|SEX|M
AY840003006323920|SIRE17|AYUSA000000144802
AY840003006323920|DAM17|AY840003000295965
AY840003006323920|BIRTH|20120404
AY840003006323920|ANIM_NAME|DANDY'S NO 7 LANE P
AY840003006323920|NAAB_CODE|179AY00011
AY840003006323920|SAMPLE_ID|AYU0701136A-01
AY840003006323920|REQUESTER_ID|GeneSeek
AY840003006323920|CHIP|GP2
AY840003006323920|DATE_RECEIVED|20131229
AY840003006323920|AIS_FEE|N
AY840003006323920|CURRENT|0
AY840003006323920|GROUP_NAME|34331068
AY840003006323920|HERD_CODE|
AY840003006323920|CTRL_NUM|
AY840003006323920|GEN_INB|0.6
AY840003006323920|PED_INB|4.3
AY840003006323920|GEN_FUT_INB|1.5
AY840003006323920|EXP_FUT_INB|4.4
AY840003006323920|HETEROSIS|0
AY840003006323920|IMP_CALL_RATE|99.1
AY840003006323920|IS_PTA_MILK|Y
AY840003006323920|IS_PTA_CT|N
AY840003006323920|HBR|
AY840003006323920|HCD|
AY840003006323920|HDR|
AY840003006323920|HH0|
AY840003006323920|HH1|
AY840003006323920|HH2|
AY840003006323920|HH3|
AY840003006323920|HH4|
AY840003006323920|HH5|
AY840003006323920|HH6|
AY840003006323920|HHB|
AY840003006323920|HHC|
AY840003006323920|HHD|
AY840003006323920|HHM|
AY840003006323920|HHP|
AY840003006323920|HHR|
AY840003006323920|HMW|
AY840003006323920|JH1|
AY840003006323920|JH1_PC|
AY840003006323920|JHP|
AY840003006323920|JHP_PC|
AY840003006323920|JNS|
AY840003006323920|JNS_PC|
AY840003006323920|BH2|
AY840003006323920|BHD|
AY840003006323920|BHM|
AY840003006323920|BHW|
AY840003006323920|BHP|
AY840003006323920|BH14|
AY840003006323920|AH1|
AY840003006323920|AH2|
AY840003006323920|AHC|
AY840003007525611|EVAL_BREED|AY
AY840003007525611|BLEND_CODE|S
AY840003007525611|SEX|M
AY840003007525611|SIRE17|AYCAN000101034046
AY840003007525611|DAM17|AYUSA000062953781
AY840003007525611|BIRTH|20100507
AY840003007525611|ANIM_NAME|ANMAR JUPITER JOEY 1010
AY840003007525611|NAAB_CODE|001AY00341
AY840003007525611|SAMPLE_ID|AY840M003007525611
AY840003007525611|REQUESTER_ID|PEAK
AY840003007525611|CHIP|GP2
AY840003007525611|DATE_RECEIVED|20130424
AY840003007525611|AIS_FEE|N
AY840003007525611|CURRENT|0
AY840003007525611|GROUP_NAME|
AY840003007525611|HERD_CODE|
AY840003007525611|CTRL_NUM|
AY840003007525611|GEN_INB|4.0
AY840003007525611|PED_INB|4.2
AY840003007525611|GEN_FUT_INB|3.5
AY840003007525611|EXP_FUT_INB|5.6
AY840003007525611|HETEROSIS|0
AY840003007525611|IMP_CALL_RATE|98.7
AY840003007525611|IS_PTA_MILK|Y
AY840003007525611|IS_PTA_CT|N
AY840003007525611|HBR|
AY840003007525611|HCD|
AY840003007525611|HDR|
AY840003007525611|HH0|
AY840003007525611|HH1|
AY840003007525611|HH2|
AY840003007525611|HH3|
AY840003007525611|HH4|
AY840003007525611|HH5|
AY840003007525611|HH6|
AY840003007525611|HHB|
AY840003007525611|HHC|
AY840003007525611|HHD|
AY840003007525611|HHM|
AY840003007525611|HHP|
AY840003007525611|HHR|
AY840003007525611|HMW|
AY840003007525611|JH1|
AY840003007525611|JH1_PC|
AY840003007525611|JHP|
AY840003007525611|JHP_PC|
AY840003007525611|JNS|
AY840003007525611|JNS_PC|
AY840003007525611|BH2|
AY840003007525611|BHD|
AY840003007525611|BHM|
AY840003007525611|BHW|
AY840003007525611|BHP|
AY840003007525611|BH14|
AY840003007525611|AH1|1
AY840003007525611|AH2|0
AY840003007525611|AHC|0
AY840003007525668|EVAL_BREED|AY
AY840003007525668|BLEND_CODE|S
AY840003007525668|SEX|M
AY840003007525668|SIRE17|AYCAN000101034046
AY840003007525668|DAM17|AYUSA000100449345
AY840003007525668|BIRTH|20100826
AY840003007525668|ANIM_NAME|ANMAR JUPITER NEPTUNE 1067
AY840003007525668|NAAB_CODE|007AY00096
AY840003007525668|SAMPLE_ID|7AY96
AY840003007525668|REQUESTER_ID|Select
AY840003007525668|CHIP|GHD
AY840003007525668|DATE_RECEIVED|20130306
AY840003007525668|AIS_FEE|N
AY840003007525668|CURRENT|0
AY840003007525668|GROUP_NAME|SELECT
AY840003007525668|HERD_CODE|
AY840003007525668|CTRL_NUM|
AY840003007525668|GEN_INB|1.1
AY840003007525668|PED_INB|3.4
AY840003007525668|GEN_FUT_INB|4.0
AY840003007525668|EXP_FUT_INB|5.8
AY840003007525668|HETEROSIS|0
AY840003007525668|IMP_CALL_RATE|99.7
AY840003007525668|IS_PTA_MILK|Y
AY840003007525668|IS_PTA_CT|N
AY840003007525668|HBR|
AY840003007525668|HCD|
AY840003007525668|HDR|
AY840003007525668|HH0|
AY840003007525668|HH1|
AY840003007525668|HH2|
AY840003007525668|HH3|
AY840003007525668|HH4|
AY840003007525668|HH5|
AY840003007525668|HH6|
AY840003007525668|HHB|
AY840003007525668|HHC|
AY840003007525668|HHD|
AY840003007525668|HHM|
AY840003007525668|HHP|
AY840003007525668|HHR|
AY840003007525668|HMW|
AY840003007525668|JH1|
AY840003007525668|JH1_PC|
AY840003007525668|JHP|
AY840003007525668|JHP_PC|
AY840003007525668|JNS|
AY840003007525668|JNS_PC|
AY840003007525668|BH2|
AY840003007525668|BHD|
AY840003007525668|BHM|
AY840003007525668|BHW|
AY840003007525668|BHP|
AY840003007525668|BH14|
AY840003007525668|AH1|1
AY840003007525668|AH2|0
AY840003007525668|AHC|0
AY840003009874615|EVAL_BREED|AY
AY840003009874615|BLEND_CODE|S
AY840003009874615|SEX|M
AY840003009874615|SIRE17|AY840003009874609
AY840003009874615|DAM17|AYUSA000100372395
AY840003009874615|BIRTH|20150816
AY840003009874615|ANIM_NAME|SHADY-DALE BEN BEAUT
AY840003009874615|NAAB_CODE|
AY840003009874615|SAMPLE_ID|AYU0702090A-01
AY840003009874615|REQUESTER_ID|GeneSeek
AY840003009874615|CHIP|GMD
AY840003009874615|DATE_RECEIVED|20170728
AY840003009874615|AIS_FEE|N
AY840003009874615|CURRENT|0
AY840003009874615|GROUP_NAME|42500165
AY840003009874615|HERD_CODE|
AY840003009874615|CTRL_NUM|
AY840003009874615|GEN_INB|10.0
AY840003009874615|PED_INB|7.0
AY840003009874615|GEN_FUT_INB|5.8
AY840003009874615|EXP_FUT_INB|6.3
AY840003009874615|HETEROSIS|0
AY840003009874615|IMP_CALL_RATE|99.4
AY840003009874615|IS_PTA_MILK|Y
AY840003009874615|IS_PTA_CT|N
AY840003009874615|HBR|
AY840003009874615|HCD|
AY840003009874615|HDR|
AY840003009874615|HH0|
AY840003009874615|HH1|
AY840003009874615|HH2|
AY840003009874615|HH3|
AY840003009874615|HH4|
AY840003009874615|HH5|
AY840003009874615|HH6|
AY840003009874615|HHB|
AY840003009874615|HHC|
AY840003009874615|HHD|
AY840003009874615|HHM|
AY840003009874615|HHP|
AY840003009874615|HHR|
AY840003009874615|HMW|
AY840003009874615|JH1|
AY840003009874615|JH1_PC|
AY840003009874615|JHP|
AY840003009874615|JHP_PC|
AY840003009874615|JNS|
AY840003009874615|JNS_PC|
AY840003009874615|BH2|
AY840003009874615|BHD|
AY840003009874615|BHM|
AY840003009874615|BHW|
AY840003009874615|BHP|
AY840003009874615|BH14|
AY840003009874615|AH1|0
AY840003009874615|AH2|0
AY840003009874615|AHC|0
AY840003009902395|EVAL_BREED|AY
AY840003009902395|BLEND_CODE|S
AY840003009902395|SEX|M
AY840003009902395|SIRE17|AYCAN000106306758
AY840003009902395|DAM17|AYUSA000100683907
AY840003009902395|BIRTH|20170817
AY840003009902395|ANIM_NAME|MYLINE GENTLE ON TOP
AY840003009902395|NAAB_CODE|
AY840003009902395|SAMPLE_ID|NE01741301
AY840003009902395|REQUESTER_ID|GeneSeek
AY840003009902395|CHIP|GMD
AY840003009902395|DATE_RECEIVED|20200418
AY840003009902395|AIS_FEE|N
AY840003009902395|CURRENT|0
AY840003009902395|GROUP_NAME|23060764
AY840003009902395|HERD_CODE|
AY840003009902395|CTRL_NUM|
AY840003009902395|GEN_INB|8.1
AY840003009902395|PED_INB|5.8
AY840003009902395|GEN_FUT_INB|8.0
AY840003009902395|EXP_FUT_INB|7.9
AY840003009902395|HETEROSIS|0
AY840003009902395|IMP_CALL_RATE|99.4
AY840003009902395|IS_PTA_MILK|Y
AY840003009902395|IS_PTA_CT|N
AY840003009902395|HBR|
AY840003009902395|HCD|
AY840003009902395|HDR|
AY840003009902395|HH0|
AY840003009902395|HH1|
AY840003009902395|HH2|
AY840003009902395|HH3|
AY840003009902395|HH4|
AY840003009902395|HH5|
AY840003009902395|HH6|
AY840003009902395|HHB|
AY840003009902395|HHC|
AY840003009902395|HHD|
AY840003009902395|HHM|
AY840003009902395|HHP|
AY840003009902395|HHR|
AY840003009902395|HMW|
AY840003009902395|JH1|
AY840003009902395|JH1_PC|
AY840003009902395|JHP|
AY840003009902395|JHP_PC|
AY840003009902395|JNS|
AY840003009902395|JNS_PC|
AY840003009902395|BH2|
AY840003009902395|BHD|
AY840003009902395|BHM|
AY840003009902395|BHW|
AY840003009902395|BHP|
AY840003009902395|BH14|
AY840003009902395|AH1|0
AY840003009902395|AH2|0
AY840003009902395|AHC|0
