#TYPE:EVAL|RUN:monthly|DATE:2604|ANIM:5|FIELDS:52
ID17|TRAIT|GPTA|GREL|GSONS|DGV|PA
AY840003006323920|NM|1|40|-11|67|20
AY840003006323920|MILK|-500|42|-524|-127|-595
AY840003006323920|FAT|-16|42|-17|-1|-16
AY840003006323920|PRO|-23|43|-25|-5|-26
AY840003006323920|FATPCT|0.02|42|0.02||0.05
AY840003006323920|PROPCT|-0.04|43|-0.05||-0.04
AY840003006323920|PL|1.3|33|1.3|-0.1|1.7
AY840003006323920|SCS|3.00|37|2.98|3.06|2.94
AY840003006323920|DPR|5.6|31|5.6|2.7|6.3
AY840003006323920|HCR|3.3|24|3.5|1.2|3.1
AY840003006323920|CCR|6.3|29|6.4|2.8|6.7
AY840003006323920|LIV|3.7|30|3.7|2.6|3.6
AY840003006323920|GL|0.2|31|0.3|-0.1|0.3
AY840003006323920|CM|-11||||
AY840003006323920|FM|27||||
AY840003006323920|GM|98||||
AY840003006323920|PTAT|-1.00|40|-1.08|-0.88|-0.96
AY840003006323920|STA|-3.70||-3.83||-2.86
AY840003006323920|STR|-0.90||-1.00||-1.03
AY840003006323920|DFM|-1.60||-1.80||-1.09
AY840003006323920|FTA|-0.60||-0.79||-0.87
AY840003006323920|RLS|0.80||0.83||0.72
AY840003006323920|BDE|-0.80||-0.86||-1.11
AY840003006323920|RPA|1.30||1.20||0.51
AY840003006323920|TRW|-1.10||-1.21||-1.04
AY840003006323920|FUA|-2.40||-2.48||-1.90
AY840003006323920|RUH|-2.50||-2.52||-2.13
AY840003006323920|UDP|-1.30|43|-1.35||-1.34
AY840003006323920|UCL|-0.80||-0.83||-0.91
AY840003006323920|FTP|-0.70||-0.58||-0.37
AY840003006323920|TLG|-1.70||-1.90||-1.38
AY840003006323920|RLR|||||
AY840003006323920|FLS|||||
AY840003006323920|RTP|||||
AY840003006323920|RUW|-1.70||-1.72||-1.64
AY840003006323920|MSP|||||
AY840003006323920|RTS|||||
AY840003006323920|SCE|||||
AY840003006323920|DCE|||||
AY840003006323920|SSB|||||
AY840003006323920|DSB|||||
AY840003006323920|MFV|||||
AY840003006323920|DAB|||||
AY840003006323920|KET|||||
AY840003006323920|MAS|||||
AY840003006323920|MET|||||
AY840003006323920|RPL|||||
AY840003006323920|EFC|0.5|28|0.4|5.5|-2.2
AY840003006323920|HLV|||||
AY840003006323920|FS|||||
AY840003006323920|RFI|||||
AY840003006323920|MSPD|||||
AY840003007525611|NM|348|88|356|358|394
AY840003007525611|MILK|1136|92|1117|1126|985
AY840003007525611|FAT|26|91|26|29|41
AY840003007525611|PRO|33|92|33|34|28
AY840003007525611|FATPCT|-0.11|92|-0.10||0.01
AY840003007525611|PROPCT|-0.02|92|-0.02||-0.02
AY840003007525611|PL|0.8|81|1.0|0.2|0.7
AY840003007525611|SCS|2.80|86|2.78|2.83|2.75
AY840003007525611|DPR|0.8|75|0.8|0.5|2.8
AY840003007525611|HCR|2.0|51|2.1|1.8|2.6
AY840003007525611|CCR|1.1|77|1.3|0.9|2.6
AY840003007525611|LIV|2.9|55|3.0|2.6|3.1
AY840003007525611|GL|-1.3|98|-1.1|-1.3|-0.9
AY840003007525611|CM|351||||
AY840003007525611|FM|345||||
AY840003007525611|GM|348||||
AY840003007525611|PTAT|-0.70|81|-0.75|-0.70|-0.74
AY840003007525611|STA|-1.40||-1.87||-0.28
AY840003007525611|STR|-0.10||-0.02||0.44
AY840003007525611|DFM|-1.30||-1.32||-1.01
AY840003007525611|FTA|-0.60||-0.69||-1.12
AY840003007525611|RLS|0.20||0.20||0.31
AY840003007525611|BDE|-0.80||-0.78||-0.10
AY840003007525611|RPA|0.50||0.25||0.34
AY840003007525611|TRW|-0.90||-0.97||-0.35
AY840003007525611|FUA|-0.90||-0.97||-2.03
AY840003007525611|RUH|-1.60||-1.75||-2.05
AY840003007525611|UDP|-0.70|86|-0.76||-1.49
AY840003007525611|UCL|-0.30||-0.36||-0.77
AY840003007525611|FTP|0.40||0.20||-0.08
AY840003007525611|TLG|-0.50||-0.59||0.10
AY840003007525611|RLR|||||
AY840003007525611|FLS|||||
AY840003007525611|RTP|||||
AY840003007525611|RUW|-0.30||-0.36||-0.71
AY840003007525611|MSP|||||
AY840003007525611|RTS|||||
AY840003007525611|SCE|||||
AY840003007525611|DCE|||||
AY840003007525611|SSB|||||
AY840003007525611|DSB|||||
AY840003007525611|MFV|||||
AY840003007525611|DAB|||||
AY840003007525611|KET|||||
AY840003007525611|MAS|||||
AY840003007525611|MET|||||
AY840003007525611|RPL|||||
AY840003007525611|EFC|7.3|56|7.2|7.7|8.1
AY840003007525611|HLV|||||
AY840003007525611|FS|||||
AY840003007525611|RFI|||||
AY840003007525611|MSPD|||||
AY840003007525668|NM|326|82|324|349|311
AY840003007525668|MILK|1351|87|1297|1368|782
AY840003007525668|FAT|28|85|28|32|24
AY840003007525668|PRO|30|88|31|33|20
AY840003007525668|FATPCT|-0.14|87|-0.13||-0.04
AY840003007525668|PROPCT|-0.07|88|-0.06||-0.03
AY840003007525668|PL|0.3|71|0.6|-0.1|1.0
AY840003007525668|SCS|2.93|77|2.91|2.94|2.80
AY840003007525668|DPR|0.8|63|0.6|0.5|2.5
AY840003007525668|HCR|1.4|39|1.0|1.3|2.2
AY840003007525668|CCR|1.8|63|1.7|1.4|2.7
AY840003007525668|LIV|2.4|45|2.6|2.2|3.0
AY840003007525668|GL|-1.0|95|-1.0|-1.0|-0.2
AY840003007525668|CM|312||||
AY840003007525668|FM|359||||
AY840003007525668|GM|344||||
AY840003007525668|PTAT|-0.50|72|-0.65|-0.48|-0.96
AY840003007525668|STA|0.10||-0.07||-1.44
AY840003007525668|STR|0.20||0.16||-0.13
AY840003007525668|DFM|0.50||0.05||-0.69
AY840003007525668|FTA|-0.60||-0.65||-1.20
AY840003007525668|RLS|0.90||0.87||0.35
AY840003007525668|BDE|0.70||0.71||-0.13
AY840003007525668|RPA|1.30||0.96||1.44
AY840003007525668|TRW|0.40||0.25||-0.92
AY840003007525668|FUA|-1.80||-2.32||-2.46
AY840003007525668|RUH|-1.60||-1.97||-2.30
AY840003007525668|UDP|-2.00|79|-2.17||-2.24
AY840003007525668|UCL|-0.80||-0.92||-1.36
AY840003007525668|FTP|0.40||-0.02||0.00
AY840003007525668|TLG|0.20||0.45||-0.20
AY840003007525668|RLR|||||
AY840003007525668|FLS|||||
AY840003007525668|RTP|||||
AY840003007525668|RUW|0.20||0.01||-0.57
AY840003007525668|MSP|||||
AY840003007525668|RTS|||||
AY840003007525668|SCE|||||
AY840003007525668|DCE|||||
AY840003007525668|SSB|||||
AY840003007525668|DSB|||||
AY840003007525668|MFV|||||
AY840003007525668|DAB|||||
AY840003007525668|KET|||||
AY840003007525668|MAS|||||
AY840003007525668|MET|||||
AY840003007525668|RPL|||||
AY840003007525668|EFC|2.2|44|1.8|3.5|3.2
AY840003007525668|HLV|||||
AY840003007525668|FS|||||
AY840003007525668|RFI|||||
AY840003007525668|MSPD|||||
AY840003009874615|NM|264|72|204|262|206
AY840003009874615|MILK|280|81|210|381|201
AY840003009874615|FAT|19|78|14|23|11
AY840003009874615|PRO|12|82|8|17|6
AY840003009874615|FATPCT|0.04|81|0.03||0.02
AY840003009874615|PROPCT|0.02|82|0.01||0.00
AY840003009874615|PL|-0.2|52|-0.6|-0.4|0.4
AY840003009874615|SCS|2.87|60|2.88|2.90|2.84
AY840003009874615|DPR|1.4|45|1.0|0.8|1.9
AY840003009874615|HCR|2.6|27|2.6|1.7|2.0
AY840003009874615|CCR|2.9|44|2.4|1.9|3.2
AY840003009874615|LIV|0.6|35|0.6|0.4|0.5
AY840003009874615|GL|-1.0|31|-1.0|-1.0|-0.1
AY840003009874615|CM|271||||
AY840003009874615|FM|248||||
AY840003009874615|GM|342||||
AY840003009874615|PTAT|-1.30|41|-1.23|-1.12|-0.92
AY840003009874615|STA|-3.20||-3.34||-2.65
AY840003009874615|STR|-1.60||-1.55||-1.29
AY840003009874615|DFM|0.20||0.10||0.34
AY840003009874615|FTA|-1.40||-1.47||-1.39
AY840003009874615|RLS|0.30||0.19||0.27
AY840003009874615|BDE|-0.60||-0.53||-0.36
AY840003009874615|RPA|1.70||1.73||1.46
AY840003009874615|TRW|-1.70||-1.64||-1.36
AY840003009874615|FUA|-3.40||-3.33||-2.64
AY840003009874615|RUH|-1.00||-1.14||-0.65
AY840003009874615|UDP|-3.30|46|-3.15||-2.72
AY840003009874615|UCL|-0.50||-0.42||-0.73
AY840003009874615|FTP|-2.20||-2.07||-1.36
AY840003009874615|TLG|-0.90||-0.63||-0.84
AY840003009874615|RLR|||||
AY840003009874615|FLS|||||
AY840003009874615|RTP|||||
AY840003009874615|RUW|-0.90||-0.92||-0.77
AY840003009874615|MSP|||||
AY840003009874615|RTS|||||
AY840003009874615|SCE|||||
AY840003009874615|DCE|||||
AY840003009874615|SSB|||||
AY840003009874615|DSB|||||
AY840003009874615|MFV|||||
AY840003009874615|DAB|||||
AY840003009874615|KET|||||
AY840003009874615|MAS|||||
AY840003009874615|MET|||||
AY840003009874615|RPL|||||
AY840003009874615|EFC|-5.9|32|-5.0|-1.9|-7.8
AY840003009874615|HLV|||||
AY840003009874615|FS|||||
AY840003009874615|RFI|||||
AY840003009874615|MSPD|||||
AY840003009902395|NM|-125|60|-94|-26|-139
AY840003009902395|MILK|-478|66|-400|-215|-449
AY840003009902395|FAT|-1|64|1|9|-2
AY840003009902395|PRO|-7|67|-6|2|-12
AY840003009902395|FATPCT|0.11|66|0.10||0.09
AY840003009902395|PROPCT|0.05|67|0.04||0.01
AY840003009902395|PL|-1.4|45|-1.4|-1.7|-1.3
